file_name,language_code,language_name,script_code,script_name
xho-x-bible-newworld.txt,xho,Xhosa,Latn,Latin
xla-x-bible.txt,xla,Kamula,Latn,Latin
xon-x-bible-likoonli.txt,xon,Konkomba,Latn,Latin
xon-x-bible-likpakpaaln.txt,xon,Konkomba,Latn,Latin
xrb-x-bible.txt,xrb,Eastern Karaboro,Latn,Latin
xsi-x-bible.txt,xsi,Sio,Latn,Latin
xsm-x-bible.txt,xsm,Kasem,Latn,Latin
xsu-x-bible.txt,xsu,Sanumá,Latn,Latin
xtd-x-bible.txt,xtd,Diuxi-Tilantongo Mixtec,Latn,Latin
xtm-x-bible.txt,xtm,Magdalena Peñasco Mixtec,Latn,Latin
xuo-x-bible.txt,xuo,Kuo,Latn,Latin
yaa-x-bible.txt,yaa,Yaminahua,Latn,Latin
yad-x-bible.txt,yad,Yagua,Latn,Latin
yal-x-bible.txt,yal,Yalunka,Latn,Latin
yam-x-bible.txt,yam,Yamba,Latn,Latin
yan-x-bible-new.txt,yan,Mayangna,Latn,Latin
yan-x-bible.txt,yan,Mayangna,Latn,Latin
yaq-x-bible.txt,yaq,Yaqui,Latn,Latin
yby-x-bible.txt,yby,Yaweyuha,Latn,Latin
ycn-x-bible.txt,ycn,Yucuna,Latn,Latin
yle-x-bible.txt,yle,Yele,Latn,Latin
yli-x-bible.txt,yli,Angguruk Yali,Latn,Latin
yml-x-bible.txt,yml,Iamalele,Latn,Latin
yon-x-bible.txt,yon,Yongkom,Latn,Latin
yor-x-bible-2010.txt,yor,Yoruba,Latn,Latin
yor-x-bible-newworld.txt,yor,Yoruba,Latn,Latin
yrb-x-bible.txt,yrb,Yareba,Latn,Latin
yre-x-bible.txt,yre,Yaouré,Latn,Latin
yrk-x-bible.txt,yrk,Nenets,Cyrl,Cyrillic
yss-x-bible-mayo.txt,yss,Yessan-Mayo,Latn,Latin
yss-x-bible-yawu.txt,yss,Yessan-Mayo,Latn,Latin
yua-x-bible-newworld.txt,yua,Yucatec Maya,Latn,Latin
yua-x-bible.txt,yua,Yucatec Maya,Latn,Latin
yuj-x-bible.txt,yuj,Karkar-Yuri,Latn,Latin
yut-x-bible.txt,yut,Yopno,Latn,Latin
yuw-x-bible.txt,yuw,Yau (Morobe Province),Latn,Latin
